Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
I6YG32	reviewed	RIMI_MYCTU	N-alpha-acetyltransferase RimI (EC 2.3.1.255) (EC 2.3.1.258)	rimI Rv3420c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	158
L0T905	reviewed	RSEA_MYCTU	Anti-sigma-E factor RseA (Regulator of SigE) (Sigma-E anti-sigma factor RseA)	rseA Rv1222	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	154
L0T911	reviewed	PBPB_MYCTU	Penicillin-binding protein PbpB (Penicillin-binding protein 3) (PBP3)	pbpB ftsI pbp3 Rv2163c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	679
L0TC47	reviewed	LIPV_MYCTU	Lipase LipV (EC 3.1.1.1)	lipV Rv3203	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	261
O05306	reviewed	LOGH_MYCTU	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1) (Protein LONELY GUY homolog) (LOG homolog)	log Rv1205 RVBD_1205 P425_01253	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	187
O05307	reviewed	FAC6_MYCTU	Medium/long-chain-fatty-acid--CoA ligase FadD6 (EC 6.2.1.2) (EC 6.2.1.3) (FACL6)	fadD6 Rv1206	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	597
O05442	reviewed	CPNT_MYCTU	Outer membrane channel protein CpnT (Channel protein with necrosis-inducing toxin) [Cleaved into: N-terminal channel domain; Tuberculosis necrotizing toxin (TNT) (NAD(+) glycohydrolase) (EC 3.2.2.5)]	cpnT Rv3903c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	846
O05461	reviewed	MYCP1_MYCTU	Mycosin-1 (EC 3.4.21.-) (MycP1 protease)	mycP1 Rv3883c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	446
O05581	reviewed	PAT_MYCTU	Acetyltransferase Pat (EC 2.3.1.-) (GCN5-like enzyme) (GCN5-related N-acetyltransferase) (GNAT) (Protein acetyltransferase) (Pat)	Rv0998	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	333
O05877	reviewed	PK21_MYCTU	GDP-polyphosphate phosphotransferase (EC 2.7.4.-) (Polyphosphate kinase PPK2)	ppk2 Rv3232c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	295
O06218	reviewed	AHPR_MYCTU	Alkyl hydroperoxide reductase Rv2159c (EC 1.11.1.-) (Alkylhydroperoxidase Rv2159c)	Rv2159c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344
O06319	reviewed	CULP4_MYCTU	Phospholipase Culp4 (EC 3.1.1.-) (Cutinase-like protein 4) (Culp4)	cut4 Rv3452	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	226
O06350	reviewed	LIPF_MYCTU	Carboxylesterase/phospholipase LipF (EC 3.1.1.1) (EC 3.1.4.3)	lipF Rv3487c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	373
O06428	reviewed	NPPPS_MYCTU	Nonaprenyl diphosphate synthase (EC 2.5.1.85) ((2E,6E)-farnesyl diphosphate synthase) (E,E-FPP synthase) (FPP synthase) (EC 2.5.1.10) (Geranylgeranyl diphosphate synthase) (GGPP synthase) (GGPS) (EC 2.5.1.29)	grcC1 Rv0562	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	335
O06543	reviewed	AMACR_MYCTU	Alpha-methylacyl-CoA racemase (AMACR) (EC 5.1.99.4) (MtMCR)	mcr Rv1143	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	360
O06582	reviewed	PRPD_MYCTU	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	prpD Rv1130 RVBD_1130 P425_01179	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	526
O06769	reviewed	NCASE_MYCTU	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylsphingosine amidohydrolase)	Rv0669c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	637
O07427	reviewed	MGLL_MYCTU	Monoacylglycerol lipase (MGL) (EC 3.1.1.23)	Rv0183	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	279
O07431	reviewed	CAMT_MYCTU	Catechol O-methyltransferase (COMT) (EC 2.1.1.6)	Rv0187	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	220
O07732	reviewed	LIPJ_MYCTU	Bifunctional lipase/adenylate cyclase LipJ [Includes: Lipase (EC 3.1.1.-); Adenylate cyclase (EC 4.6.1.1) (Adenylyl cyclase)]	lipJ Rv1900c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	462
O07783	reviewed	VAPC4_MYCTU	Ribonuclease VapC4 (RNase VapC4) (EC 3.1.-.-) (Toxin VapC4) (VapC-mt4)	vapC4 Rv0595c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	130
O33194	reviewed	G3PP_MYCTU	D-glycerol 3-phosphate phosphatase (D,L-glycerol 3-phosphate phosphatase) (G3P phosphatase)	Rv1692	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	353
O33283	reviewed	EPHG_MYCTU	Epoxide hydrolase EphG (EH) (EC 3.3.2.10) (Cholesterol-5,6-oxide hydrolase) (EC 3.3.2.11)	ephG Rv2740	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	149
O33289	reviewed	ARGA_MYCTU	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA Rv2747	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	174
O33336	reviewed	PPTT_MYCTU	4'-phosphopantetheinyl transferase PptT (PPTase) (EC 2.7.8.7)	pptT Rv2794c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	227
O33348	reviewed	RELG_MYCTU	Toxin RelG (EC 3.1.-.-) (Putative endoribonuclease RelG)	relG relE2 Rv2866	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	87
O33363	reviewed	GDSL_MYCTU	GDSL lipase Rv0518 (EC 3.1.1.-)	Rv0518	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	231
O50406	reviewed	DITCY_MYCTU	Type B diterpene cyclase (EC 5.5.1.16)	Rv3377c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	501
O53166	reviewed	ACNA_MYCTU	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (Iron-responsive protein-like) (IRP-like) (Probable 2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (RNA-binding protein)	acn Rv1475c RVBD_1475c P425_01532	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	943
O53168	reviewed	RIPA_MYCTU	Peptidoglycan endopeptidase RipA (EC 3.4.-.-) (Macrophage invasion and intracellular persistence protein A) (Resuscitation-promoting factor interaction partner A) (Rpf-interacting protein A)	ripA Rv1477	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	472
O53177	reviewed	RPFE_MYCTU	Resuscitation-promoting factor RpfE (EC 3.-.-.-)	rpfE Rv2450c MTV008.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	172
O53181	reviewed	KORB_MYCTU	2-oxoglutarate oxidoreductase subunit KorB (EC 1.2.7.3) (Alpha-ketoglutarate oxidoreductase subunit beta) (KG oxidoreductase subunit beta) (KGO subunit beta) (KOR subunit beta)	korB Rv2454c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	373
O53289	reviewed	SERB2_MYCTU	Phosphoserine phosphatase SerB2 (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase) (Protein-serine/threonine phosphatase) (EC 3.1.3.16)	serB2 Rv3042c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	409
O53353	reviewed	WHB2A_MYCTU	Transcriptional regulator WhiB2 (Probable chaperone WhiB2)	whiB2 Rv3260c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	89
O53361	reviewed	SAPM_MYCTU	Phosphatidylinositol-3-phosphatase (PI3P phosphatase) (EC 3.1.3.64) (Acid phosphatase SapM) (EC 3.1.3.2) (Secreted acid phosphatase)	sapM Rv3310	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	299
O53423	reviewed	GDSLL_MYCTU	GDSL-like esterase Rv1075c (EC 3.1.-.-) (Acetylesterase) (EC 3.1.1.6)	Rv1075c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	314
O53424	reviewed	LIPU_MYCTU	Esterase LipU (EC 3.1.1.-)	lipU Rv1076	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	297
O53493	reviewed	PPMNT_MYCTU	Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase [Includes: Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269); Polyprenol monophosphomannose synthase (PPM synthase) (Polyprenol-P-Man synthase) (Ppm1) (EC 2.4.1.-) (Dolichol-phosphate mannose synthase) (EC 2.4.1.83)]	ppm1 lnt Rv2051c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	874
O53512	reviewed	AROG_MYCTU	Phospho-2-dehydro-3-deoxyheptonate aldolase AroG (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG Rv2178c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	462
O53547	reviewed	CHSB1_MYCTU	Hydroxyacyl-CoA dehydrogenase ChsB1 (EC 1.1.1.-)	chsB1 Rv3502c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	317
O53551	reviewed	FAC17_MYCTU	Medium/long-chain-fatty-acid--CoA ligase FadD17 (FACL) (EC 6.2.1.2) (EC 6.2.1.3) (Acyl-CoA synthetase) (FACL17) (Steroid-24-oyl-CoA synthetase)	fadD17 Rv3506	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	502
O53561	reviewed	ECH19_MYCTU	Enoyl-CoA hydratase EchA19 (EC 4.2.1.-)	echA19 Rv3516	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	266
O53580	reviewed	FAA32_MYCTU	Long-chain-fatty-acid--AMP ligase FadD32 (FAAL) (EC 6.2.1.20) (Acyl-AMP synthetase) (FAAL32)	fadD32 Rv3801c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	637
O53581	reviewed	CULP6_MYCTU	Carboxylesterase/lipase Culp6 (EC 3.1.1.-) (Cell wall lipase) (Cutinase-like protein 6) (Culp6)	cut6 Rv3802c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	336
O53585	reviewed	GLFT2_MYCTU	Galactofuranosyltransferase GlfT2 (GalTr 2) (EC 2.4.1.288) (Arabinogalactan galactosyltransferase 2) (Galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase) (Polymerizing galactofuranosyltransferase GlfT2)	glfT2 glfT Rv3808c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	637
O53638	reviewed	LDT1_MYCTU	L,D-transpeptidase 1 (LDT 1) (EC 2.3.2.-) (Ldt(Mt1))	ldtA Rv0116c RVBD_0116c P425_00122	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	251
O53664	reviewed	HTDX_MYCTU	3-hydroxyacyl-thioester dehydratase X (EC 4.2.1.-) (3-hydroxybutyryl-CoA dehydratase) (EC 4.2.1.55) (Enoyl-CoA hydratase 2) (EC 4.2.1.119)	htdX Rv0241c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280
O53666	reviewed	FADE5_MYCTU	Broad-specificity linear acyl-CoA dehydrogenase FadE5 (Long-chain-acyl-CoA dehydrogenase) (EC 1.3.8.8) (Medium-chain-acyl-CoA dehydrogenase) (EC 1.3.8.7) (Short-chain-acyl-CoA dehydrogenase) (EC 1.3.8.1)	fadE5 Rv0244c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	611
O53699	reviewed	STF0_MYCTU	Trehalose 2-sulfotransferase (EC 2.8.2.37)	stf0 Rv0295c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	267
O53873	reviewed	XPB_MYCTU	DNA 3'-5' helicase XPB (EC 5.6.2.4)	XPB ercc3 Rv0861c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	549
O53896	reviewed	PEPD_MYCTU	Serine protease PepD (EC 3.4.21.107) (HtrA-like serine protease)	pepD htrA2 Rv0983	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	464
O53901	reviewed	PKS5_MYCTU	Mycocerosic acid synthase-like polyketide synthase (MAS-like PKS) (EC 2.3.1.-) (Polyketide synthase Pks5)	pks5 Rv1527c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2108
O65934	reviewed	ABC1_MYCTU	ABC transporter ATP-binding/permease protein Rv1747 (EC 7.-.-.-)	Rv1747	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	865
O69652	reviewed	CDS1_MYCTU	L-cysteine desulfhydrase Cds1 (EC 4.4.1.1)	cds1 Rv3684	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	368
O69711	reviewed	NMTR_MYCTU	HTH-type transcriptional regulator NmtR	nmtR Rv3744	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	120
O69729	reviewed	TCRY_MYCTU	Probable sensor histidine kinase TcrY (EC 2.7.13.3)	tcrY Rv3764c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	475
P71590	reviewed	FHAA_MYCTU	FHA domain-containing protein FhaA	fhaA TB39.8 Rv0020c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	527
P71629	reviewed	CAS10_MYCTU	CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A) (ssDNase Cas10) (EC 3.1.-.-) (Cyclic oligoadenylate synthase) (EC 2.7.7.-)	cas10 csm1 Rv2823c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	809
P71707	reviewed	PBP1A_MYCTU	Penicillin-binding protein 1A (PBP-1A) (Penicillin-binding protein 1*) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA1 Rv0050 MTCY21D4.13	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	820
P71716	reviewed	MBTA_MYCTU	Salicyl-AMP ligase / salicyl-S-ArCP synthetase (EC 6.2.1.-) (Mycobactin biosynthesis protein MbtA) (Salicyl-AMP ligase) (Sal-AMP ligase) (EC 2.7.7.-) (Salicyl-S-ArCP synthetase)	mbtA Rv2384	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	565
P71778	reviewed	LIPL_MYCTU	Esterase/beta-lactamase LipL (EC 3.1.1.-) (EC 3.5.2.6)	lipL Rv1497	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	429
P71857	reviewed	CHSE1_MYCTU	Acyl-CoA dehydrogenase FadE28 (ACAD) (EC 1.3.99.-) (3-oxo-23,24-bisnorchol-4-en-22-oyl-CoA dehydrogenase alpha subunit) (3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase alpha subunit)	fadE28 Rv3544c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	339
P71858	reviewed	CHSE2_MYCTU	Acyl-CoA dehydrogenase FadE29 (ACAD) (EC 1.3.99.-) (3-oxo-23,24-bisnorchol-4-en-22-oyl-CoA dehydrogenase beta subunit) (3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase beta subunit)	fadE29 Rv3543c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	387
P71875	reviewed	KSHA_MYCTU	3-ketosteroid-9-alpha-monooxygenase, oxygenase component (3-ketosteroid-9-alpha-hydroxylase, oxygenase component) (KSH) (Androsta-1,4-diene-3,17-dione 9-alpha-hydroxylase) (EC 1.14.15.30) (Rieske-type oxygenase) (RO)	kshA Rv3526	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	386
P71905	reviewed	RNE_MYCTU	Ribonuclease E (RNase E) (EC 3.1.26.12)	rne Rv2444c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	953
P95125	reviewed	LIPN_MYCTU	Carboxylic ester hydrolase LipN (EC 3.1.1.-)	lipN Rv2970c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	376
P95141	reviewed	FAA29_MYCTU	4-hydroxyphenylalkanoate adenylyltransferase (EC 6.2.1.51) (Acyl-AMP synthase) (FAAL29) (Long-chain-fatty-acid--AMP ligase FadD29) (FAAL)	fadD29 Rv2950c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	619
P95160	reviewed	NDH_MYCTU	Type II NADH:quinone oxidoreductase Ndh (EC 1.6.5.9) (Type II NADH dehydrogenase Ndh)	ndh Rv1854c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	463
P95200	reviewed	NDHA_MYCTU	Type II NADH:quinone oxidoreductase NdhA (EC 1.6.5.9) (Type II NADH dehydrogenase NdhA)	ndhA Rv0392c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	470
P96202	reviewed	PPSC_MYCTU	Phenolphthiocerol/phthiocerol polyketide synthase subunit C (EC 2.3.1.292) ((Phenol)carboxyphthiodiolenone synthase subunit C) (Beta-ketoacyl-acyl-carrier-protein synthase I) (Phthiocerol synthesis polyketide synthase type I PpsC)	ppsC Rv2933	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2188
P96264	reviewed	LPQL_MYCTU	Probable lipoprotein aminopeptidase LpqL (EC 3.4.11.1) (Leucine aminopeptidase) (Lipoprotein LpqL)	lpqL Rv0418	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	500
P96285	reviewed	PKS1_MYCTU	Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1	pks1 Rv2946c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1616
P96368	reviewed	TRCS_MYCTU	Sensor histidine kinase TrcS (EC 2.7.13.3) (Tuberculosis regulatory component sensor)	trcS Rv1032c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	509
P96379	reviewed	MAZG_MYCTU	Nucleoside triphosphate pyrophosphohydrolase (NTP-PPase) (EC 3.6.1.8)	mazG Rv1021	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	325
P96890	reviewed	ACCA3_MYCTU	Biotin-dependent acyl-coenzyme A carboxylase alpha3 subunit [Includes: Biotin carboxylase (BC) (EC 6.3.4.14); Biotin carboxyl carrier protein (BCCP)]	accA3 Rv3285	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	600
P9WF09	reviewed	RELK_MYCTU	Toxin RelK (EC 3.1.-.-) (Endoribonuclease YoeB) (Putative mRNA interferase RelE3) (Putative mRNA interferase YoeB) (Toxin YoeB)	relK relE3 yoeB Rv3358 MTV004.15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	85
P9WF39	reviewed	WHIB4_MYCTU	Transcriptional regulator WhiB4	whiB4 Rv3681c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	118
P9WF41	reviewed	WHIB3_MYCTU	Redox- and pH-responsive transcriptional regulator WhiB3	whiB3 Rv3416	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	102
P9WF43	reviewed	WHIB1_MYCTU	Transcriptional regulator WhiB1	whiB1 Rv3219	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	84
P9WF97	reviewed	VPC15_MYCTU	Ribonuclease VapC15 (RNase VapC15) (EC 3.1.-.-) (Toxin VapC15)	vapC15 Rv2010 MTCY39.07c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	132
P9WFD7	reviewed	Y2623_MYCTU	Universal stress protein Rv2623 (USP Rv2623)	Rv2623 TB31.7	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	297
P9WFF1	reviewed	URE1_MYCTU	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC Rv1850 MTCY359.23c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	577
P9WFF5	reviewed	ZFPP_MYCTU	(2Z,6E)-farnesyl diphosphate synthase (EC 2.5.1.68) (Short-chain Z-isoprenyl diphosphate synthase) (Z-FPP synthase) (Z-FPPS) (Z-Polyprenyl diphosphate synthase) (Z-isoprenyl diphosphate synthase)	Rv1086 MTV017.39	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	262
P9WFF7	reviewed	DPDS_MYCTU	Decaprenyl diphosphate synthase (DecaPP) (EC 2.5.1.86) (EC 2.5.1.87) (Decaprenyl pyrophosphate synthase) (Long-chain isoprenyl diphosphate synthase) (Trans,polycis-decaprenyl diphosphate synthase)	uppS Rv2361c MTCY27.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	296
P9WFK7	reviewed	EIS_MYCTU	N-acetyltransferase Eis (EC 2.3.1.-) (Aminoglycoside N-acetyltransferase) (Enhanced intracellular survival protein) (Protein-lysine N-acetyltransferase)	eis Rv2416c MTCY253.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	402
P9WFR5	reviewed	DPPRS_MYCTU	Decaprenyl-phosphate phosphoribosyltransferase (EC 2.4.2.45) (5-phospho-alpha-D-ribose-1-diphosphate:decaprenyl-phosphate 5-phosphoribosyltransferase) (DPPR synthase)	Rv3806c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	302
